company,pre_2022_avg,post_2022_avg,growth_pct,signal
Apple,9140000.0,14882500.0,62.8,HIGH URGENCY
JPMorgan Chase,4000000.0,5677500.0,41.9,HIGH URGENCY
Google,11672500.0,16467500.0,41.1,HIGH URGENCY
Goldman Sachs,4461000.0,4972500.0,11.5,ELEVATED
Microsoft,14087000.0,15603375.0,10.8,ELEVATED
Lockheed Martin,20932360.5,20244775.75,-3.3,STABLE/DECLINING
Boeing,16911250.0,15590000.0,-7.8,STABLE/DECLINING
Qualcomm,16480000.0,14370000.0,-12.8,STABLE/DECLINING
GE Aerospace,11463500.0,6179500.0,-46.1,STABLE/DECLINING
NVIDIA,,2645000.0,,STABLE/DECLINING
